SAF (HEFA-SPK) FOB Straits $/mt (mirror),UCO FOB Straits $/mt,Year,Quarter,Month,Day,Earliest Date
0,900.00,2024,Qtr 3,August,14,2024-08-14 00:00:00
0,895.00,2024,Qtr 3,August,15,2024-08-15 00:00:00
0,895.00,2024,Qtr 3,August,16,2024-08-16 00:00:00
0,895.00,2024,Qtr 3,August,19,2024-08-19 00:00:00
0,895.00,2024,Qtr 3,August,20,2024-08-20 00:00:00
0,895.00,2024,Qtr 3,August,21,2024-08-21 00:00:00
0,895.00,2024,Qtr 3,August,22,2024-08-22 00:00:00
0,895.00,2024,Qtr 3,August,23,2024-08-23 00:00:00
0,895.00,2024,Qtr 3,August,26,2024-08-26 00:00:00
0,895.00,2024,Qtr 3,August,27,2024-08-27 00:00:00
0,895.00,2024,Qtr 3,August,28,2024-08-28 00:00:00
0,895.00,2024,Qtr 3,August,29,2024-08-29 00:00:00
0,895.00,2024,Qtr 3,August,30,2024-08-30 00:00:00
0,895.00,2024,Qtr 3,September,2,2024-09-02 00:00:00
0,895.00,2024,Qtr 3,September,3,2024-09-03 00:00:00
0,895.00,2024,Qtr 3,September,4,2024-09-04 00:00:00
0,895.00,2024,Qtr 3,September,5,2024-09-05 00:00:00
0,895.00,2024,Qtr 3,September,6,2024-09-06 00:00:00
0,895.00,2024,Qtr 3,September,9,2024-09-09 00:00:00
0,895.00,2024,Qtr 3,September,10,2024-09-10 00:00:00
0,895.00,2024,Qtr 3,September,11,2024-09-11 00:00:00
0,895.00,2024,Qtr 3,September,12,2024-09-12 00:00:00
0,885.00,2024,Qtr 3,September,13,2024-09-13 00:00:00
0,885.00,2024,Qtr 3,September,16,2024-09-16 00:00:00
0,885.00,2024,Qtr 3,September,17,2024-09-17 00:00:00
0,885.00,2024,Qtr 3,September,18,2024-09-18 00:00:00
0,870.00,2024,Qtr 3,September,19,2024-09-19 00:00:00
0,870.00,2024,Qtr 3,September,20,2024-09-20 00:00:00
0,870.00,2024,Qtr 3,September,23,2024-09-23 00:00:00
0,870.00,2024,Qtr 3,September,24,2024-09-24 00:00:00
0,870.00,2024,Qtr 3,September,25,2024-09-25 00:00:00
0,870.00,2024,Qtr 3,September,26,2024-09-26 00:00:00
0,870.00,2024,Qtr 3,September,27,2024-09-27 00:00:00
0,870.00,2024,Qtr 3,September,30,2024-09-30 00:00:00
1712.5,870.00,2024,Qtr 4,October,1,2024-10-01 00:00:00
1707.25,855.00,2024,Qtr 4,October,2,2024-10-02 00:00:00
1767.62,855.00,2024,Qtr 4,October,3,2024-10-03 00:00:00
1790.5,855.00,2024,Qtr 4,October,4,2024-10-04 00:00:00
1804.12,855.00,2024,Qtr 4,October,7,2024-10-07 00:00:00
1768.25,855.00,2024,Qtr 4,October,8,2024-10-08 00:00:00
1815,855.00,2024,Qtr 4,October,9,2024-10-09 00:00:00
1796,855.00,2024,Qtr 4,October,10,2024-10-10 00:00:00
1805.75,855.00,2024,Qtr 4,October,11,2024-10-11 00:00:00
